category,name,brand,flavor,flavor_simp,num_flavors,servings,rating,flavorrating,reviews,price,priceperserving,calories,fat_g,carbs_g,protein_g,dietary_fiber_g,cholesterol_mg,sugar_g
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,delicious strawberry,berry,2,14,9.3,8.1,10031,19.99,1.43,120,1.5,3.0,24.0,0.0,40.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,double rich chocolate,chocolate,3,14,9.3,8.5,10031,19.99,1.43,120,1.5,3.0,24.0,1.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,vanilla ice cream,vanilla,3,14,9.3,7.8,10031,19.99,1.43,120,1.0,4.0,24.0,0.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,banana cream,banana,2,29,9.3,8.4,10031,29.99,1.03,120,1.0,4.0,24.0,0.0,40.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,birthday cake,other,2,27,9.3,7.4,10031,29.99,1.03,130,1.5,5.0,24.0,0.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,cake donut,other,2,28,9.3,5.0,10031,29.99,1.03,120,1.0,3.0,24.0,0.0,40.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,chocolate hazelnut,chocolate,2,27,9.3,5.3,10031,29.99,1.03,130,1.5,4.0,24.0,0.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,chocolate malt,chocolate,2,29,9.3,8.8,10031,29.99,1.03,120,1.0,3.0,24.0,0.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,chocolate mint,chocolate,2,28,9.3,8.0,10031,29.99,1.03,120,1.5,3.0,24.0,0.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,cookies & cream,other,3,27,9.3,7.9,10031,29.99,1.03,120,1.0,3.0,24.0,0.0,40.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,delicious strawberry,berry,2,29,9.3,8.1,10031,29.99,1.03,120,1.5,3.0,24.0,0.0,40.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,double rich chocolate,chocolate,3,29,9.3,8.5,10031,29.99,1.03,120,1.5,3.0,24.0,0.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,extreme milk chocolate,chocolate,3,28,9.3,9.1,10031,29.99,1.03,120,1.5,3.0,24.0,1.0,40.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,french vanilla creme,vanilla,3,29,9.3,8.5,10031,29.99,1.03,110,1.0,2.0,24.0,0.0,40.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,gingerbread,other,1,28,9.3,7.7,10031,29.99,1.03,110,1.0,4.0,24.0,0.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,mocha cappuccino,other,2,28,9.3,9.1,10031,29.99,1.03,120,1.5,3.0,24.0,0.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,peppermint mocha,other,2,28,9.3,5.0,10031,29.99,1.03,120,1.0,4.0,24.0,0.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,rocky road,other,2,28,9.3,7.9,10031,29.99,1.03,120,1.5,3.0,24.0,0.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,strawberries & cream,other,3,29,9.3,8.0,10031,29.99,1.03,120,1.0,3.0,24.0,0.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,strawberry banana,berry,2,30,9.3,8.0,10031,29.99,1.03,110,1.0,2.0,24.0,0.0,40.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,unflavored,other,1,30,9.3,7.0,10031,29.99,1.03,110,1.0,2.0,24.0,0.0,30.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,vanilla ice cream,vanilla,3,29,9.3,7.8,10031,29.99,1.03,120,1.0,4.0,24.0,0.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,banana cream,banana,2,73,9.3,8.4,10031,59.99,0.82,120,1.0,4.0,24.0,0.0,40.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,cake batter,other,2,73,9.3,8.2,10031,59.99,0.82,120,1.5,3.0,24.0,0.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,chocolate coconut,chocolate,2,71,9.3,9.0,10031,59.99,0.82,130,1.5,4.0,24.0,0.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,chocolate malt,chocolate,2,73,9.3,8.8,10031,59.99,0.82,120,1.0,3.0,24.0,0.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,chocolate mint,chocolate,2,70,9.3,8.0,10031,59.99,0.82,120,1.5,3.0,24.0,0.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,chocolate peanut butter,chocolate,3,68,9.3,8.6,10031,59.99,0.82,130,1.5,4.0,24.0,1.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,coffee,other,1,71,9.3,8.8,10031,59.99,0.82,130,1.5,4.0,24.0,0.0,40.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,cookies & cream,other,3,68,9.3,7.9,10031,59.99,0.82,120,1.0,3.0,24.0,0.0,40.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,delicious strawberry,berry,2,73,9.3,8.1,10031,59.99,0.82,120,1.5,3.0,24.0,0.0,40.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,double rich chocolate,chocolate,3,74,9.3,8.5,10031,59.99,0.82,120,1.5,3.0,0.0,0.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,extreme milk chocolate,chocolate,3,71,9.3,9.1,10031,59.99,0.82,130,1.5,3.0,24.0,0.0,40.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,french vanilla creme,vanilla,3,73,9.3,8.5,10031,59.99,0.82,110,1.0,2.0,24.0,0.0,40.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,mocha cappuccino,other,2,71,9.3,9.1,10031,59.99,0.82,120,1.5,3.0,24.0,0.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,rocky road,other,2,5,9.3,7.9,10031,59.99,0.82,120,1.0,3.0,24.0,0.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,strawberries & cream,other,3,73,9.3,8.0,10031,59.99,0.82,120,1.0,3.0,24.0,0.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,strawberry banana,berry,2,75,9.3,8.0,10031,59.99,0.82,110,1.0,2.0,24.0,0.0,40.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,vanilla ice cream,vanilla,3,73,9.3,7.8,10031,59.99,0.82,120,1.0,4.0,24.0,0.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,white chocolate,chocolate,2,73,9.3,8.2,10031,59.99,0.82,120,1.5,3.0,24.0,0.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,extreme milk chocolate,chocolate,3,6,9.3,9.1,10031,12.99,2.16,120,1.5,3.0,24.0,0.0,40.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,delicious strawberry,berry,2,146,9.3,8.1,10031,115.99,0.79,120,1.5,3.0,24.0,0.0,40.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,double rich chocolate,chocolate,3,149,9.3,8.5,10031,115.99,0.79,120,1.5,3.0,24.0,1.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,extreme milk chocolate,chocolate,3,141,9.3,9.1,10031,115.99,0.79,120,1.5,3.0,24.0,0.0,40.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,rocky road,other,2,144,9.3,7.9,10031,115.99,0.79,120,1.5,3.0,24.0,0.0,35.0,0.0
WHEY PROTEIN,Gold Standard 100% Whey Protein,Optimum Nutrition,vanilla ice cream,vanilla,3,146,9.3,7.8,10031,115.99,0.79,120,1.0,4.0,24.0,0.0,35.0,0.0
WHEY PROTEIN,Pro JYM Protein Powder,JYM Supplement Science,chocolate cookie crunch,chocolate,3,2,9.2,9.0,2730,34.99,1.52,150,3.0,7.0,24.0,0.0,15.0,0.0
WHEY PROTEIN,Pro JYM Protein Powder,JYM Supplement Science,chocolate mousse,chocolate,2,23,9.2,7.3,2730,34.99,1.52,150,3.5,6.0,24.0,0.0,15.0,0.0
WHEY PROTEIN,Pro JYM Protein Powder,JYM Supplement Science,chocolate peanut butter,chocolate,3,2,9.2,8.5,2730,34.99,1.52,160,4.0,6.0,24.0,0.0,15.0,0.0
WHEY PROTEIN,Pro JYM Protein Powder,JYM Supplement Science,rocky road,other,2,23,9.2,9.0,2730,34.99,1.52,170,4.0,8.0,24.0,0.0,15.0,0.0
WHEY PROTEIN,Pro JYM Protein Powder,JYM Supplement Science,s'mores,other,1,2,9.2,9.3,2730,34.99,1.52,150,3.0,6.0,24.0,0.0,15.0,0.0
WHEY PROTEIN,Pro JYM Protein Powder,JYM Supplement Science,tahitian vanilla bean,vanilla,3,26,9.2,8.4,2730,34.99,1.52,140,2.5,4.0,24.0,0.0,15.0,0.0
WHEY PROTEIN,Pro JYM Protein Powder,JYM Supplement Science,vanilla peanut butter swirl,vanilla,4,24,9.2,9.9,2730,34.99,1.52,150,3.5,5.0,24.0,0.0,10.0,1.0
WHEY PROTEIN,Pro JYM Protein Powder,JYM Supplement Science,chocolate cookie crunch,chocolate,3,4,9.2,9.0,2730,56.98,1.27,150,3.0,7.0,24.0,0.0,15.0,0.0
WHEY PROTEIN,Pro JYM Protein Powder,JYM Supplement Science,chocolate mousse,chocolate,2,46,9.2,7.3,2730,56.98,1.27,150,3.5,6.0,24.0,0.0,15.0,0.0
WHEY PROTEIN,Pro JYM Protein Powder,JYM Supplement Science,chocolate peanut butter,chocolate,3,4,9.2,8.5,2730,56.98,1.27,160,4.0,6.0,24.0,0.0,15.0,0.0
WHEY PROTEIN,Pro JYM Protein Powder,JYM Supplement Science,cookies & cream,other,3,4,9.2,8.5,2730,56.98,1.27,150,3.0,6.0,24.0,0.0,15.0,0.0
WHEY PROTEIN,Pro JYM Protein Powder,JYM Supplement Science,rocky road,other,2,44,9.2,9.0,2730,56.98,1.27,170,4.0,8.0,24.0,0.0,15.0,0.0
WHEY PROTEIN,Pro JYM Protein Powder,JYM Supplement Science,s'mores,other,1,4,9.2,9.3,2730,56.98,1.27,150,3.0,6.0,24.0,0.0,15.0,0.0
WHEY PROTEIN,Pro JYM Protein Powder,JYM Supplement Science,tahitian vanilla bean,vanilla,3,51,9.2,8.4,2730,56.98,1.27,140,2.5,4.0,24.0,0.0,15.0,0.0
WHEY PROTEIN,Pro JYM Protein Powder,JYM Supplement Science,vanilla peanut butter swirl,vanilla,4,48,9.2,9.9,2730,56.98,1.27,150,3.5,5.0,24.0,0.0,10.0,1.0
WHEY PROTEIN,Signature 100% Whey Protein Powder,Bodybuilding.com Signature,chocolate,chocolate,1,27,8.8,8.4,672,20.24,0.75,130,2.0,3.0,25.0,0.0,45.0,0.0
WHEY PROTEIN,Signature 100% Whey Protein Powder,Bodybuilding.com Signature,mocha cappuccino,other,2,27,8.8,8.7,672,20.24,0.75,130,2.0,3.0,25.0,0.0,45.0,0.0
WHEY PROTEIN,Signature 100% Whey Protein Powder,Bodybuilding.com Signature,oatmeal cookie,other,2,2,8.8,9.0,672,20.24,0.75,130,2.0,2.0,25.0,0.0,55.0,0.0
WHEY PROTEIN,Signature 100% Whey Protein Powder,Bodybuilding.com Signature,vanilla,vanilla,1,27,8.8,8.9,672,20.24,0.75,130,2.0,2.0,25.0,0.0,50.0,0.0
WHEY PROTEIN,Signature 100% Whey Protein Powder,Bodybuilding.com Signature,chocolate,chocolate,1,67,8.8,8.4,672,37.49,0.56,130,2.0,3.0,25.0,0.0,45.0,0.0
WHEY PROTEIN,Signature 100% Whey Protein Powder,Bodybuilding.com Signature,mocha cappuccino,other,2,67,8.8,8.7,672,37.49,0.56,130,2.0,3.0,25.0,0.0,45.0,0.0
WHEY PROTEIN,Signature 100% Whey Protein Powder,Bodybuilding.com Signature,oatmeal cookie,other,2,66,8.8,9.0,672,37.49,0.56,130,2.0,3.0,25.0,0.0,50.0,0.0
WHEY PROTEIN,Signature 100% Whey Protein Powder,Bodybuilding.com Signature,strawberry,berry,1,5,8.8,8.3,672,37.49,0.56,130,2.0,2.0,25.0,0.0,50.0,0.0
WHEY PROTEIN,Signature 100% Whey Protein Powder,Bodybuilding.com Signature,vanilla,vanilla,1,69,8.8,8.9,672,37.49,0.56,130,2.0,2.0,25.0,0.0,50.0,0.0
WHEY PROTEIN,Signature Protein Crunch Bars,Bodybuilding.com Signature,chocolate chip cookie dough,chocolate,4,1,9.4,9.5,279,3.74,3.74,230,9.0,20.0,20.0,0.0,35.0,0.0
WHEY PROTEIN,Signature Protein Crunch Bars,Bodybuilding.com Signature,chocolate peanut butter,chocolate,3,1,9.4,9.2,279,3.74,3.74,230,9.0,20.0,20.0,0.0,35.0,0.0
WHEY PROTEIN,Signature Protein Crunch Bars,Bodybuilding.com Signature,cinnamon roll,other,2,1,9.4,8.6,279,3.74,3.74,230,9.0,20.0,20.0,0.0,35.0,0.0
WHEY PROTEIN,Signature Protein Crunch Bars,Bodybuilding.com Signature,cookies and cream,other,3,1,9.4,9.3,279,3.74,3.74,230,9.0,20.0,20.0,0.0,35.0,0.0
WHEY PROTEIN,Signature Protein Crunch Bars,Bodybuilding.com Signature,chocolate peanut butter,chocolate,3,12,9.4,9.2,279,24.99,2.08,230,9.0,20.0,20.0,0.0,35.0,0.0
WHEY PROTEIN,Signature Protein Crunch Bars,Bodybuilding.com Signature,cinnamon roll,other,2,12,9.4,8.6,279,24.99,2.08,230,9.0,20.0,20.0,0.0,35.0,0.0
WHEY PROTEIN,Signature Protein Crunch Bars,Bodybuilding.com Signature,cookies and cream,other,3,12,9.4,9.3,279,24.99,2.08,230,9.0,20.0,20.0,0.0,35.0,0.0
WHEY PROTEIN,Signature Protein Crunch Bars,Bodybuilding.com Signature,chocolate chip cookie dough,chocolate,4,12,9.4,9.5,279,24.99,2.08,230,9.0,20.0,20.0,0.0,35.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,berry berry berry good,berry,4,25,9.2,3.3,3968,29.99,1.2,200,6.0,15.0,22.0,0.0,65.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,birthday cake remix,other,3,25,9.2,8.0,3968,29.99,1.2,200,6.0,15.0,22.0,0.0,65.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,cookie doughn't you want some,other,5,25,9.2,1.0,3968,29.99,1.2,200,6.0,15.0,0.0,0.0,60.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,germanchokolatekake,other,1,25,9.2,8.7,3968,29.99,1.2,200,6.0,14.0,22.0,1.0,65.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,mint mint chocolate chocolate chip,chocolate,5,25,9.2,8.2,3968,29.99,1.2,200,6.0,15.0,22.0,0.0,65.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,banana,banana,1,28,9.2,9.2,3968,29.99,1.07,200,6.0,15.0,22.0,0.0,55.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,candy cane - limited edition,other,5,28,9.2,10.0,3968,29.99,1.07,220,7.0,16.0,22.0,0.0,60.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,chocolate cake batter,chocolate,3,28,9.2,9.4,3968,29.99,1.07,200,6.0,15.0,22.0,0.0,60.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,chocolate milkshake,chocolate,2,28,9.2,9.3,3968,29.99,1.07,200,6.0,15.0,22.0,0.0,70.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,chocolate peanut butter,chocolate,3,28,9.2,9.4,3968,29.99,1.07,200,6.0,15.0,22.0,0.0,55.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,cookies & cream,other,3,28,9.2,8.9,3968,29.99,1.07,200,6.0,14.0,22.0,0.0,60.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,peanut butter cookie,pb,3,28,9.2,9.6,3968,29.99,1.07,200,6.0,15.0,22.0,0.0,75.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,salted caramel,other,2,28,9.2,8.6,3968,29.99,1.07,200,6.0,15.0,22.0,0.0,65.0,3.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,strawberry milkshake,berry,2,28,9.2,9.4,3968,29.99,1.07,200,6.0,15.0,22.0,0.0,65.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,vanilla ice cream,vanilla,3,28,9.2,9.3,3968,29.99,1.07,200,6.0,15.0,22.0,0.0,65.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,berry berry berry good,berry,4,44,9.2,3.3,3968,48.99,1.11,200,6.0,15.0,22.0,0.0,65.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,birthday cake remix,other,3,44,9.2,8.0,3968,48.99,1.11,200,6.0,15.0,22.0,0.0,65.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,cookie doughn't you want some,other,5,44,9.2,1.0,3968,48.99,1.11,200,6.0,15.0,0.0,0.0,60.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,germanchokolatekake,other,1,44,9.2,8.7,3968,48.99,1.11,200,6.0,14.0,22.0,1.0,65.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,mint mint chocolate chocolate chip,chocolate,5,44,9.2,8.2,3968,48.99,1.11,200,6.0,15.0,22.0,0.0,65.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,banana,banana,1,48,9.2,9.2,3968,48.99,1.02,200,6.0,15.0,22.0,0.0,55.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,chocolate cake batter,chocolate,3,48,9.2,9.4,3968,48.99,1.02,200,6.0,15.0,22.0,0.0,60.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,chocolate milkshake,chocolate,2,48,9.2,9.3,3968,48.99,1.02,200,6.0,15.0,22.0,0.0,70.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,chocolate peanut butter,chocolate,3,48,9.2,9.4,3968,48.99,1.02,200,6.0,15.0,22.0,0.0,55.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,cookies & cream,other,3,48,9.2,8.9,3968,48.99,1.02,200,6.0,14.0,22.0,0.0,60.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,strawberry milkshake,berry,2,48,9.2,9.4,3968,48.99,1.02,200,6.0,15.0,22.0,0.0,65.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,vanilla ice cream,vanilla,3,48,9.2,9.3,3968,48.99,1.02,200,6.0,15.0,22.0,0.0,65.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,chocolate milkshake,chocolate,2,97,9.2,9.3,3968,99.99,1.03,0,0.0,0.0,0.0,0.0,0.0,0.0
WHEY PROTEIN,Syntha-6 Whey Protein Powder,BSN,vanilla ice cream,vanilla,3,97,9.2,9.3,3968,99.99,1.03,0,0.0,0.0,0.0,0.0,0.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,birthday cake,other,2,24,9.3,8.6,2407,32.99,1.37,110,0.0,1.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,chocolate caramel,chocolate,2,22,9.3,10.0,2407,32.99,1.37,120,0.0,0.0,0.0,0.0,0.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,chocolate peanut butter,chocolate,3,16,9.3,9.3,2407,32.99,1.37,120,0.5,2.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,cinnamon bun,other,2,23,9.3,8.3,2407,32.99,1.37,120,0.0,2.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,cocoa pebbles,other,2,22,9.3,9.9,2407,32.99,1.37,120,0.0,2.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,cookies and cream,other,3,24,9.3,8.5,2407,32.99,1.37,110,0.0,2.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,fruity pebbles,fruit,2,24,9.3,9.9,2407,32.99,1.37,110,0.0,1.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,fudge brownie,other,2,23,9.3,8.8,2407,32.99,1.37,120,0.5,2.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,gourmet chocolate,chocolate,2,23,9.3,9.1,2407,32.99,1.37,120,0.5,2.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,gourmet vanilla,vanilla,2,24,9.3,8.5,2407,32.99,1.37,110,0.0,1.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,orange dreamsicle,other,2,24,9.3,9.0,2407,32.99,1.37,110,0.0,2.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,peanut butter,pb,2,16,9.3,9.1,2407,32.99,1.37,120,1.0,2.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,dutch chocolate,chocolate,2,23,9.3,10.0,2407,32.99,1.43,120,0.5,1.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,vanilla,vanilla,1,24,9.3,7.5,2407,32.99,1.43,110,0.0,1.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,chocolate peanut butter,chocolate,3,3,9.3,9.3,2407,51.99,1.21,120,0.5,2.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,cocoa pebbles,other,2,43,9.3,9.9,2407,51.99,1.21,120,0.0,2.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,cookies and cream,other,3,45,9.3,8.5,2407,51.99,1.21,110,0.0,2.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,fruity pebbles,fruit,2,46,9.3,9.9,2407,51.99,1.21,110,0.0,1.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,fudge brownie,other,2,43,9.3,8.8,2407,51.99,1.21,120,0.5,2.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,gourmet chocolate,chocolate,2,43,9.3,9.1,2407,51.99,1.21,120,0.5,2.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,gourmet vanilla,vanilla,2,45,9.3,8.5,2407,51.99,1.21,110,0.0,1.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,peanut butter,pb,2,3,9.3,9.1,2407,51.99,1.21,120,1.0,2.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,cocoa pebbles,other,2,71,9.3,9.9,2407,74.99,1.06,120,0.5,2.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,fruity pebbles,fruit,2,76,9.3,9.9,2407,74.99,1.06,110,0.0,1.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,chocolate peanut butter,chocolate,3,5,9.3,9.3,2407,78.74,1.11,120,0.5,2.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,birthday cake,other,2,76,9.3,8.6,2407,79.99,1.05,110,0.0,1.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,chocolate coconut,chocolate,2,5,9.3,8.1,2407,79.99,1.05,120,0.5,2.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,cinnamon bun,other,2,73,9.3,8.3,2407,79.99,1.05,120,0.0,2.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,cookies and cream,other,3,76,9.3,8.5,2407,79.99,1.05,110,0.0,2.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,fudge brownie,other,2,71,9.3,8.8,2407,79.99,1.05,120,0.5,2.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,gourmet chocolate,chocolate,2,71,9.3,9.1,2407,79.99,1.05,120,0.5,2.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,gourmet vanilla,vanilla,2,76,9.3,8.5,2407,79.99,1.05,110,0.0,1.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,orange dreamsicle,other,2,76,9.3,9.0,2407,79.99,1.05,110,0.0,2.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,peanut butter,pb,2,5,9.3,9.1,2407,79.99,1.05,120,1.0,2.0,25.0,0.0,10.0,0.0
WHEY PROTEIN,ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,smooth banana,banana,2,76,9.3,8.3,2407,79.99,1.05,110,0.0,1.0,25.0,0.0,10.0,0.0
